Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8045486851457001,0.6504559270516718,0.5721925133689839,0.6088193456614509,0.8360714082341553
Random Forest,0.7839374555792467,0.6190476190476191,0.48663101604278075,0.5449101796407185,0.8163790113422823
XGBoost,0.7711442786069652,0.5760233918128655,0.5267379679144385,0.5502793296089385,0.8113899084231069
